_id,season,user,score,rank,SeasonNumber,returning,previousScore,cumScore,maxScore,scoreChange,monthsPlayed,retentionRate,monthsAFK
60650d0fdf54262f1111f172,2021-04,5797e1632702461612c82b0e,201458744,46,75,False,201458744,201458744,201458744,0.0,1,False,0
60650d13df54262f1112a2a1,2021-04,588d50e64b9e9fe43a40ebb5,200554030,47,75,False,200554030,200554030,200554030,0.0,1,False,0
60650d0fdf54262f1111f2c4,2021-04,54d2ea2c9facf3600348e042,200453730,48,75,False,200453730,200453730,200453730,0.0,1,False,0
60650d0fdf54262f1111f48d,2021-04,5832e9fe2873dc77620c089c,196463157,49,75,False,196463157,196463157,196463157,0.0,1,False,0
60650d17df54262f111373c2,2021-04,5894004dd35fdcfa5afcbb14,195600100,50,75,False,195600100,195600100,195600100,0.0,1,False,0
60650d13df54262f1112a241,2021-04,59b0098087b4836b6642d893,194081351,51,75,False,194081351,194081351,194081351,0.0,1,False,0
60650d13df54262f1112a272,2021-04,5bcfcb1436a67f05217c7d01,188590010,52,75,False,188590010,188590010,188590010,0.0,1,False,0
60650d17df54262f111373da,2021-04,58e420169f9ea16831586c7e,186117098,53,75,False,186117098,186117098,186117098,0.0,1,False,0
60650d0fdf54262f1111f17d,2021-04,576be5baa5b6db107d492d29,186016884,54,75,False,186016884,186016884,186016884,0.0,1,False,0
60650d0fdf54262f1111f1ff,2021-04,5aaf6b7378ce6a7a35a7255b,185978685,55,75,False,185978685,185978685,185978685,0.0,1,False,0
60650d0fdf54262f1111f1d8,2021-04,577bd87147c3ef7031adce68,185485077,56,75,False,185485077,185485077,185485077,0.0,1,False,0
60650d17df54262f1113742b,2021-04,5ca6d4fe163e721c1dbbad87,183720897,57,75,False,183720897,183720897,183720897,0.0,1,False,0
60650d1cdf54262f11145cbc,2021-04,5773fb88efd3405c4bb331a5,182119751,58,75,False,182119751,182119751,182119751,0.0,1,False,0
60650d13df54262f1112a22d,2021-04,58f6c6386ebc90ee02f174a5,180249111,59,75,False,180249111,180249111,180249111,0.0,1,False,0
60650d0fdf54262f1111f23a,2021-04,57fc329da59532b2194ae644,178146086,60,75,False,178146086,178146086,178146086,0.0,1,False,0
60650d17df54262f11137442,2021-04,598d908641d70d5a4845c623,176971065,61,75,False,176971065,176971065,176971065,0.0,1,False,0
60650d0fdf54262f1111f18d,2021-04,59e2d7e4e4f12f75e3741985,173681428,62,75,False,173681428,173681428,173681428,0.0,1,False,0
60650d1cdf54262f11145c9e,2021-04,5ce9e351c9c72943436ca103,172649829,63,75,False,172649829,172649829,172649829,0.0,1,False,0
60650d0fdf54262f1111f1a1,2021-04,5bcb3006e62bfc2d5313967d,172509078,64,75,False,172509078,172509078,172509078,0.0,1,False,0
60650d17df54262f111373c5,2021-04,55605a6654db1fa952de8d90,169636062,65,75,False,169636062,169636062,169636062,0.0,1,False,0
60650d0fdf54262f1111f2e6,2021-04,5b641b26ac5b3259747aaf4f,167131079,66,75,False,167131079,167131079,167131079,0.0,1,False,0
60650d13df54262f1112a244,2021-04,5aa7f55a9c1a4a02a398c0dc,166830092,67,75,False,166830092,166830092,166830092,0.0,1,False,0
60650d0fdf54262f1111f230,2021-04,57776bbe4686e00c62027fbf,165908289,68,75,False,165908289,165908289,165908289,0.0,1,False,0
60650d0fdf54262f1111f1a4,2021-04,577c0d2347c3ef7031ae1212,163769565,69,75,False,163769565,163769565,163769565,0.0,1,False,0
60650d0fdf54262f1111f203,2021-04,5a7df4bb0dc67040d934cafd,161179273,70,75,False,161179273,161179273,161179273,0.0,1,False,0
60650d1cdf54262f11145f6c,2021-04,5845ad47b14a695e0d8df6e6,159394356,71,75,False,159394356,159394356,159394356,0.0,1,False,0
60650d17df54262f111373bc,2021-04,57cde56b2deaa15c528597ac,154309094,72,75,False,154309094,154309094,154309094,0.0,1,False,0
60650d13df54262f1112a2da,2021-04,5ebd2e1fd4b48053216f1c1b,152489614,73,75,False,152489614,152489614,152489614,0.0,1,False,0
60650d0fdf54262f1111f218,2021-04,5928c387f604024177457eae,150802801,74,75,False,150802801,150802801,150802801,0.0,1,False,0
60650d17df54262f111373ae,2021-04,558405b13c6725802fd39bd9,150151730,75,75,False,150151730,150151730,150151730,0.0,1,False,0
60650d0fdf54262f1111f183,2021-04,578aa3883fd9069e6b56c901,149748843,76,75,False,149748843,149748843,149748843,0.0,1,False,0
60650d0fdf54262f1111f1c2,2021-04,59034e1eb10571061cf66d13,147214643,77,75,False,147214643,147214643,147214643,0.0,1,False,0
60650d13df54262f1112a232,2021-04,584c81aab14a695e0d96f0be,146585850,78,75,False,146585850,146585850,146585850,0.0,1,False,0
60650d17df54262f111373ef,2021-04,589f5265d25357e8253e3ee8,143772632,79,75,False,143772632,143772632,143772632,0.0,1,False,0
60650d17df54262f111373fb,2021-04,58c6e6b7ddc5f2790254a787,141537899,80,75,False,141537899,141537899,141537899,0.0,1,False,0
60650d1cdf54262f11146024,2021-04,5ca60c31b69e3e6263dc5c7e,140744762,81,75,False,140744762,140744762,140744762,0.0,1,False,0
60650d13df54262f1112a23e,2021-04,5a2ef7f2ff1b706023341e9b,138475424,82,75,False,138475424,138475424,138475424,0.0,1,False,0
60650d0fdf54262f1111f20e,2021-04,5c6e26b3c12b132630d6ebcb,136894910,83,75,False,136894910,136894910,136894910,0.0,1,False,0
60650d13df54262f1112a25e,2021-04,5a6918410b50df6b1f70deed,134922519,84,75,False,134922519,134922519,134922519,0.0,1,False,0
